source,target,code,match
https://search.cesipagano.com/i/dana-point-listings-1500000-2000000,https://www.cesipagano.com/listing-report/Dana-Point-Listings-1-500-000-2-000-000/2996620,301,url
https://search.cesipagano.com/i/dana-point-listings-2000000-,https://www.cesipagano.com/listing-report/Dana-Point-Listings-2-000-000/2996621,301,url
https://search.cesipagano.com/i/dana-point-listings-500000-1000000,https://www.cesipagano.com/listing-report/Dana-Point-Listings-500-000-1-000-000/2996622,301,url
https://search.cesipagano.com/i/dana-point-listings-under-500000,https://www.cesipagano.com/listing-report/Dana-Point-Listings-under-500-000/2996623,301,url
https://search.cesipagano.com/i/dana-point-short-sales-and-foreclosures,https://www.cesipagano.com/listing-report/Dana-Point-Short-Sales-and-Foreclosures/2996624,301,url
https://search.cesipagano.com/i/foothill-ranch-active-listings,https://www.cesipagano.com/listing-report/Foothill-Ranch-Active-Listings/2996625,301,url
https://search.cesipagano.com/i/foothill-ranch-condos-and-townhomes-for-sale,https://www.cesipagano.com/listing-report/Foothill-Ranch-Condos-and-Townhomes-for-Sale/2996627,301,url
https://search.cesipagano.com/i/foothill-ranch-listings-500000-750000,https://www.cesipagano.com/listing-report/Foothill-Ranch-Listings-500-000-750-000/2996628,301,url
https://search.cesipagano.com/i/foothill-ranch-listings-750000-,https://www.cesipagano.com/listing-report/Foothill-Ranch-Listings-750-000/2996629,301,url
https://search.cesipagano.com/i/foothill-ranch-short-sales-and-foreclosures,https://www.cesipagano.com/listing-report/Foothill-Ranch-Short-Sales-and-Foreclosures/2996630,301,url
https://search.cesipagano.com/i/foothill-ranch-under-500000,https://www.cesipagano.com/listing-report/Foothill-Ranch-Homes-Under-500-000/2996631,301,url
https://search.cesipagano.com/i/irvine-active-condos-and-townhome,https://www.cesipagano.com/listing-report/Irvine-Active-Condos-and-Townhome/2996632,301,url
https://search.cesipagano.com/i/irvine-foreclosures,https://www.cesipagano.com/listing-report/Irvine-Foreclosures/2996633,301,url
https://search.cesipagano.com/i/irvine-homes-1000000-1500000,https://www.cesipagano.com/listing-report/Irvine-Homes-1-000-000-1-500-000/2996634,301,url
https://search.cesipagano.com/i/irvine-homes-for-sale,https://www.cesipagano.com/listing-report/Irvine-Homes-for-sale/2996635,301,url
https://search.cesipagano.com/i/irvine-listings-0-500000,https://www.cesipagano.com/listing-report/Irvine-Listings-0-500-000/2996636,301,url
